,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
532,"frozenset({""'HEART'_'GARDENERS'""})","frozenset({""'WHITE'_'PAD'""})",0.007722059815606026,0.007722059815606026,0.007722059815606026,1.0,129.49912638322655,0.0076624296078102285,inf
508,"frozenset({""'WHITE'_'WITH'"", ""'HANGING'_'BOX'""})","frozenset({""'HEART'_'CUTLERY'""})",0.007861479649201709,0.011063638407915449,0.007825500337306049,0.9954233409610983,89.97251213930903,0.007738523769116095,216.08259500786593
442,"frozenset({""'HEART'_'I'""})","frozenset({""'HOLDER'_'LONDON'""})",0.010150663368563077,0.010123678884641331,0.00875646503260625,0.8626495347806822,85.21107243824287,0.008653702976196826,7.206938247604394
500,"frozenset({""'T-LIGHT'_'GIRL'""})","frozenset({""'HOLDER'_'DOLLY'""})",0.008608050371036654,0.011059140993928492,0.007982909826849561,0.9273772204806687,83.8561711971845,0.007887712184113427,13.617502188040433
444,"frozenset({""'HEART'_'I'"", ""'HOLDER'_'LONDON'""})","frozenset({""'T-LIGHT'_'LOVE'""})",0.00875646503260625,0.01307398246008545,0.00875646503260625,1.0,76.48778809769522,0.008641983162357605,inf
286,"frozenset({""'HOLDER'_'LONDON'""})","frozenset({""'T-LIGHT'_'LOVE'""})",0.010123678884641331,0.01307398246008545,0.010123678884641331,1.0,76.48778809769522,0.009991322084471992,inf
480,"frozenset({""'WHITE'_'TEACUP'""})","frozenset({""'HOLDER'_'REGENCY'""})",0.013726107488194288,0.008608050371036654,0.008608050371036654,0.627129750982962,72.85386631716906,0.008489895346380014,2.65881215313497
458,"frozenset({""'WHITE'_'TEACUP'"", ""'HANGING'_'AND'""})","frozenset({""'HOLDER'_'REGENCY'""})",0.013726107488194288,0.008608050371036654,0.008608050371036654,0.627129750982962,72.85386631716906,0.008489895346380014,2.65881215313497
464,"frozenset({""'HOLDER'_'REGENCY'""})","frozenset({""'T-LIGHT'_'SAUCER'""})",0.008608050371036654,0.013816055767933438,0.008608050371036654,1.0,72.37955729166667,0.008489121067057232,inf
112,"frozenset({""'WHITE'_'TEACUP'""})","frozenset({""'T-LIGHT'_'SAUCER'""})",0.013726107488194288,0.013816055767933438,0.013726107488194288,1.0,72.37955729166667,0.013536466821660747,inf
